FLUXNET_SITE_ID,Record_number,IGBP,Year,NEE_VUT_REF_NIGHT,TA_F,P_F,NEE_VUT_REF_QC,GPP_DT_VUT_REF,gpp_fluxnet,RECO_DT_VUT_REF,RECO_NT_VUT_REF,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,mat_fluxnet,map_fluxnet,GOME2_SIF,SCIA_SIF,Study_midyear,Site_name,YearsOfData,Longitude,Latitude,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,mat_srdb,map_srdb,Study_temp,Study_precip,Partition_method,Rs_annual,Rh_annual,Ra_annual,gpp_srdb,ER,FLUXNET_DIST,FLUXNET_ECOSYSTEM_MATCH,tmp_hadcrut4,mat_hadcrut4,tmp_trend,tmp_trend_p,pre_hadcrut4,map_hadcrut4,pre_trend,pre_trend_p,pet,pet_norm,pet_trend,pet_trend_p,gpp_beer,gpp_modis,SOC,gpp_isimip,sm,sm_norm,sm_sd,sm_sd_norm
CA-NS7,1,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,2001.5,BOREAS NSA-D1998,1.5,-99.94,56.63,Boreal,Forest,Natural,Evergreen,Aggrading,0.8,450,NA,NA,Exclusion,255,262,-7,NA,NA,0.8209625665937097,FALSE,-5.733333333333333,-3.6519444444444447,0.05643483709273233,0.21807217782432448,357.40000000000003,458.28666666666663,2.0196240601503557,3.5453803127527603,399.4722222222223,530.3652777777778,0.6312030075188532,230.40747433032976,364.9999906415458,388.6,95.338,693.2968092744343,0.2978499924756761,0.2559954480784654,0.04354999889983446,0.02880454472688143
CA-NS7,2,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,2001.5,BOREAS NSA-D1995,1.5,-99.97,56.46,Boreal,Forest,Natural,Deciduous,Aggrading,0.8,450,NA,NA,Exclusion,85,76,9,NA,NA,19.598796600923762,FALSE,-5.227777777777778,-3.0786111111111114,0.053809523809524605,0.2354048456326406,370.2666666666667,475.3766666666667,2.66278195488722,2.487182431978754,409.61111111111114,543.85,0.8095864661654976,200.85038848046543,383.6555468410551,457.0666666666667,80.504,716.2508480380517,0.3090999921914772,0.30304999234431307,0.0520499986851064,0.05147666536625669
CA-NS6,3,OSH,2001,195.191195240664,1.019,221.767,0.220205,301.813,147.306,398.114,403.354,55.9167,-98.9644,244,-3.08,495,NaN,NaN,2001.5,BOREAS NSA-D1989,1.5,-98.98,55.91,Boreal,Forest,Natural,Deciduous,Aggrading,0.8,450,NA,NA,Exclusion,425,285,140,NA,NA,1.2251531740905686,FALSE,-5.238888888888889,-2.9555555555555557,0.059172932330828286,0.2022332428626785,414.1333333333333,486.50666666666666,3.3721052631579527,0.8875869314442697,399.4722222222223,538.9833333333333,0.786716791980019,215.7558086923466,402.91943654580115,500.9333333333334,83.727,694.7910240644087,0.3009999923961004,0.3166655092417355,0.07494999810660374,0.056713791670737354
CA-NS5,4,ENF,2001,344.72936751998395,-0.591,257.587,0.326084,1372.5,1224.79,1179.85,770.025,55.8631,-98.485,260,-2.86,500,NaN,NaN,2001.5,BOREAS NSA-D1981,1.5,-98.48,55.86,Boreal,Forest,Natural,Mixed,Aggrading,0.8,450,NA,NA,Exclusion,551,385,166,NA,NA,0.46507339384870067,TRUE,-5.5888888888888895,-3.253888888888889,0.06231203007518929,0.1871723899711428,448.4666666666667,507.13000000000005,3.6091729323309485,0.6691096119118335,379.19444444444446,525.3972222222222,0.8278822055138241,200.69547030647394,426.64443313544797,529.5333333333333,77.349,693.6615067756886,0.31039999215863645,0.3090740662662062,0.06634999832385802,0.04847036914590582
CA-NS3,5,ENF,2001,481.82173571916,-0.778,210.442,0.410731,881.879,732.054,827.387,802.96,55.9117,-98.3822,260,-2.87,502,NaN,NaN,2001.5,BOREAS NSA-D1964,1.5,-98.39,55.92,Boreal,Forest,Natural,Evergreen,Aggrading,0.8,450,NA,NA,Exclusion,484,378,106,NA,NA,1.0433796119301382,TRUE,-5.5888888888888895,-3.253888888888889,0.06231203007518929,0.1871723899711428,448.4666666666667,507.13000000000005,3.6091729323309485,0.6691096119118335,379.19444444444446,525.3972222222222,0.8278822055138241,200.69547030647394,426.64443313544797,537.8666666666667,91.256,693.6615067756886,0.31039999215863645,0.3090740662662062,0.06634999832385802,0.04847036914590582
CA-NS2,6,ENF,2001,347.383775102904,-1.039,280.479,0.401655,1164.84,1126.71,641.863,694.915,55.9058,-98.5247,260,-2.88,500,NaN,NaN,2001.5,BOREAS NSA-D1930,1.5,-98.52,55.91,Boreal,Forest,Natural,Evergreen,Mature,0.8,450,NA,NA,Exclusion,540,394,146,NA,NA,0.5514448846067365,TRUE,-5.238888888888889,-2.9555555555555557,0.059172932330828286,0.2022332428626785,414.1333333333333,486.50666666666666,3.3721052631579527,0.8875869314442697,399.4722222222223,538.9833333333333,0.786716791980019,215.7558086923466,402.91943654580115,531.6666666666667,83.286,694.7910240644087,0.30074999240241596,0.3093111032972552,0.06504999835669878,0.05442962825462153
CA-Man,7,ENF,2001,215.97339961814401,-0.028,270.998,0.954452,802.722,681.068,749.696,621.729,55.8796,-98.4808,259,-3.2,520,NaN,NaN,2001.5,BOREAS NSA-D1850; NOBS,1.5,-98.48,55.88,Boreal,Forest,Natural,Evergreen,Mature,0.8,450,NA,NA,Exclusion,375,329,46,NA,NA,0.0668628146864955,TRUE,-5.5888888888888895,-3.253888888888889,0.06231203007518929,0.1871723899711428,448.4666666666667,507.13000000000005,3.6091729323309485,0.6691096119118335,379.19444444444446,525.3972222222222,0.8278822055138241,200.69547030647394,426.64443313544797,529.5333333333333,84.258,693.6615067756886,0.31039999215863645,0.3090740662662062,0.06634999832385802,0.04847036914590582
CA-NS7,8,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,2001.5,BOREAS NSA-W1998,1.5,-99.94,56.63,Boreal,Forest,Natural,Evergreen,Aggrading,0.8,450,NA,NA,Exclusion,137,134,3,NA,NA,0.8209625665937097,FALSE,-5.733333333333333,-3.6519444444444447,0.05643483709273233,0.21807217782432448,357.40000000000003,458.28666666666663,2.0196240601503557,3.5453803127527603,399.4722222222223,530.3652777777778,0.6312030075188532,230.40747433032976,364.9999906415458,388.6,95.338,693.2968092744343,0.2978499924756761,0.2559954480784654,0.04354999889983446,0.02880454472688143
CA-NS7,9,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,2001.5,BOREAS NSA-W1995,1.5,-99.98,56.46,Boreal,Forest,Natural,Deciduous,Aggrading,0.8,450,NA,NA,Exclusion,513,498,15,NA,NA,19.649942260406377,FALSE,-5.227777777777778,-3.0786111111111114,0.053809523809524605,0.2354048456326406,370.2666666666667,475.3766666666667,2.66278195488722,2.487182431978754,409.61111111111114,543.85,0.8095864661654976,200.85038848046543,383.6555468410551,457.0666666666667,87.62,716.2508480380517,0.3090999921914772,0.30304999234431307,0.0520499986851064,0.05147666536625669
CA-NS6,10,OSH,2001,195.191195240664,1.019,221.767,0.220205,301.813,147.306,398.114,403.354,55.9167,-98.9644,244,-3.08,495,NaN,NaN,2001.5,BOREAS NSA-W1989,1.5,-98.98,55.9,Boreal,Forest,Natural,Deciduous,Aggrading,0.8,450,NA,NA,Exclusion,337,239,98,NA,NA,2.0966941283567144,FALSE,-5.238888888888889,-2.9555555555555557,0.059172932330828286,0.2022332428626785,414.1333333333333,486.50666666666666,3.3721052631579527,0.8875869314442697,399.4722222222223,538.9833333333333,0.786716791980019,215.7558086923466,402.91943654580115,502.80000000000007,59.254,694.7910240644087,0.3009999923961004,0.3166655092417355,0.07494999810660374,0.056713791670737354
